role,episode,terrain,update_in_episode,replay_size,qf1_loss,qf2_loss,policy_loss,alpha,alpha_loss,target_entropy_internal,target_entropy_paper,q_target_mean,q_target_std,policy_mean_abs,policy_log_std_mean,train_update
individual,46,cardboard,89,2800,0.006661646533757448,0.009493897669017315,-5.149658203125,0.0036433213390409946,-40.16991424560547,-9.0,9.0,5.047446250915527,0.3194490969181061,0.6522001028060913,-0.9706387519836426,1011
individual,46,cardboard,90,2800,0.034136995673179626,0.015361729077994823,-5.131021022796631,0.003639676608145237,-41.962730407714844,-9.0,9.0,4.998444557189941,0.2768514156341553,0.632858395576477,-1.027512788772583,1012
individual,46,cardboard,91,2800,0.02058730646967888,0.025324426591396332,-5.110266208648682,0.0036360356025397778,-41.7474479675293,-9.0,9.0,4.974921226501465,0.3329281806945801,0.6606330275535583,-1.0428377389907837,1013
individual,46,cardboard,92,2800,0.04744179919362068,0.02317923866212368,-5.009245872497559,0.0036323980893939734,-37.17310333251953,-9.0,9.0,5.0294904708862305,0.3038969039916992,0.6327659487724304,-1.0660295486450195,1014
individual,46,cardboard,93,2800,0.028662538155913353,0.020265698432922363,-5.073980808258057,0.0036287643015384674,-37.720787048339844,-9.0,9.0,4.916321277618408,0.3650115430355072,0.7083950042724609,-1.0950642824172974,1015
individual,46,cardboard,94,2800,0.02680230513215065,0.026463009417057037,-5.224334716796875,0.00362513423897326,-28.43225860595703,-9.0,9.0,5.110532760620117,0.239494189620018,0.7339766621589661,-1.1583154201507568,1016
individual,46,cardboard,95,2800,0.02390202507376671,0.038157518953084946,-5.271994590759277,0.0036215076688677073,-33.989044189453125,-9.0,9.0,5.078011512756348,0.3212839365005493,0.6998897194862366,-1.166116714477539,1017
individual,46,cardboard,96,2800,0.029596466571092606,0.015940262004733086,-5.102570533752441,0.003617884824052453,-32.63072204589844,-9.0,9.0,5.075500965118408,0.2964290678501129,0.7639942765235901,-1.143717885017395,1018
individual,46,cardboard,97,2800,0.0062726582400500774,0.012815401889383793,-5.12515926361084,0.0036142654716968536,-26.618289947509766,-9.0,9.0,5.064092636108398,0.23101544380187988,0.7779637575149536,-1.191048502922058,1019
individual,46,cardboard,98,2800,0.03174636512994766,0.01180177740752697,-5.265552043914795,0.0036106498446315527,-27.565391540527344,-9.0,9.0,5.131228446960449,0.29678553342819214,0.7860423922538757,-1.2421411275863647,1020
individual,46,cardboard,99,2800,0.01162203773856163,0.01877886988222599,-5.140605926513672,0.0036070377100259066,-28.999727249145508,-9.0,9.0,4.98101282119751,0.2975408434867859,0.7959493398666382,-1.2210100889205933,1021
individual,46,cardboard,100,2800,0.061389319598674774,0.015952762216329575,-5.103424072265625,0.003603429300710559,-26.187965393066406,-9.0,9.0,5.174065589904785,0.22278916835784912,0.8529669046401978,-1.2346208095550537,1022
population,46,cardboard,1,8050,0.05178360641002655,0.05121796205639839,-23.667274475097656,0.0030967905186116695,8.934162139892578,-9.0,9.0,23.5871524810791,2.1702311038970947,1.6866350173950195,-0.7914032340049744,3623
population,46,cardboard,2,8050,0.04191191494464874,0.05741811916232109,-22.623748779296875,0.0030995456036180258,1.508931279182434,-9.0,9.0,22.393495559692383,2.1073880195617676,1.4899324178695679,-0.8282385468482971,3624
population,46,cardboard,3,8050,0.05545259267091751,0.056215353310108185,-23.34640121459961,0.003102387534454465,10.394464492797852,-9.0,9.0,22.935924530029297,2.346851110458374,1.6108485460281372,-0.8051284551620483,3625
population,46,cardboard,4,8050,0.07024151086807251,0.04500012844800949,-23.65754508972168,0.0031047717202454805,-2.8373188972473145,-9.0,9.0,23.372419357299805,1.6465332508087158,1.5158449411392212,-0.8033320307731628,3626
population,46,cardboard,5,8050,0.0827375277876854,0.08647656440734863,-22.521940231323242,0.0031070406548678875,1.9299421310424805,-9.0,9.0,22.502592086791992,2.5615437030792236,1.5353848934173584,-0.8415613174438477,3627
population,46,cardboard,6,8050,0.0822722464799881,0.054356060922145844,-23.361492156982422,0.003108722623437643,-8.065837860107422,-9.0,9.0,23.320154190063477,2.092576265335083,1.4033371210098267,-0.8205852508544922,3628
population,46,cardboard,7,8050,0.08276420086622238,0.11450810730457306,-22.543325424194336,0.0031105983071029186,9.872270584106445,-9.0,9.0,22.056705474853516,2.54176664352417,1.627333402633667,-0.8147176504135132,3629
