role,episode,terrain,update_in_episode,replay_size,qf1_loss,qf2_loss,policy_loss,alpha,alpha_loss,target_entropy_internal,target_entropy_paper,q_target_mean,q_target_std,policy_mean_abs,policy_log_std_mean,train_update
individual,53,cardboard,4,4022,0.14814281463623047,0.11506041139364243,-13.958312034606934,0.007740950211882591,-1.9076972007751465,-9.0,9.0,13.54172134399414,1.4556708335876465,1.4605146646499634,-0.7036134600639343,1626
individual,53,cardboard,5,4022,0.23102420568466187,0.23451533913612366,-14.197599411010742,0.007744834292680025,-3.1120200157165527,-9.0,9.0,13.471611022949219,1.4103446006774902,1.405215859413147,-0.7157050371170044,1627
individual,53,cardboard,6,4022,0.1206461638212204,0.2933741509914398,-13.803141593933105,0.007749170996248722,7.427377223968506,-9.0,9.0,12.983189582824707,1.3656266927719116,1.6961907148361206,-0.7331494688987732,1628
individual,53,cardboard,7,4022,0.0866723507642746,0.1580008715391159,-13.589824676513672,0.0077539170160889626,7.619415283203125,-9.0,9.0,12.998953819274902,1.359054684638977,1.5761438608169556,-0.733138918876648,1629
individual,53,cardboard,8,4022,0.43615397810935974,0.38419976830482483,-13.816920280456543,0.007758195977658033,0.019609570503234863,-9.0,9.0,13.652281761169434,1.716215968132019,1.5007731914520264,-0.7161708474159241,1630
individual,53,cardboard,9,4022,0.10214876383543015,0.15819613635540009,-13.015729904174805,0.007762891706079245,11.50674057006836,-9.0,9.0,12.800796508789062,1.0035972595214844,1.5775974988937378,-0.7320831418037415,1631
individual,53,cardboard,10,4022,0.14689669013023376,0.1457292139530182,-13.44450569152832,0.007767690811306238,3.2835988998413086,-9.0,9.0,13.026387214660645,1.1848515272140503,1.5212770700454712,-0.7052637338638306,1632
individual,53,cardboard,11,4022,0.09979955852031708,0.1575096994638443,-12.781119346618652,0.007771844044327736,-1.0013867616653442,-9.0,9.0,12.542614936828613,0.7747188806533813,1.4392282962799072,-0.7326149344444275,1633
individual,53,cardboard,12,4022,0.43713951110839844,0.38364019989967346,-13.8275785446167,0.007774953730404377,-3.623582363128662,-9.0,9.0,13.612823486328125,1.5084099769592285,1.39970862865448,-0.7412824630737305,1634
individual,53,cardboard,13,4022,0.28499144315719604,0.4320138990879059,-13.865224838256836,0.007778584025800228,4.775241851806641,-9.0,9.0,13.239516258239746,1.3753703832626343,1.580053448677063,-0.738972008228302,1635
individual,53,cardboard,14,4022,0.43206703662872314,0.6255112290382385,-13.739205360412598,0.007782698608934879,16.461633682250977,-9.0,9.0,12.983765602111816,1.155661702156067,1.7277805805206299,-0.7708991169929504,1636
individual,53,cardboard,15,4022,0.1403712034225464,0.14003434777259827,-13.760302543640137,0.007787134498357773,4.197084903717041,-9.0,9.0,13.458372116088867,1.1761282682418823,1.549507737159729,-0.7635456919670105,1637
individual,53,cardboard,16,4022,0.15294133126735687,0.17833426594734192,-13.085309982299805,0.007791491691023111,2.07138991355896,-9.0,9.0,12.67538833618164,1.0573989152908325,1.5507458448410034,-0.7915388345718384,1638
individual,53,cardboard,17,4022,0.09260345995426178,0.18701840937137604,-13.45363998413086,0.00779535248875618,-0.37523651123046875,-9.0,9.0,13.1998291015625,1.3192287683486938,1.426326870918274,-0.7885571122169495,1639
individual,53,cardboard,18,4022,0.2657436430454254,0.17713265120983124,-13.723255157470703,0.0077996766194701195,6.364195823669434,-9.0,9.0,13.153450965881348,1.7386713027954102,1.560806393623352,-0.8298095464706421,1640
individual,53,cardboard,19,4022,0.16537049412727356,0.26239830255508423,-13.967184066772461,0.0078042601235210896,3.94752836227417,-9.0,9.0,13.057514190673828,1.2641955614089966,1.541595697402954,-0.7894765138626099,1641
individual,53,cardboard,20,4022,0.45352041721343994,0.5692436099052429,-14.061820983886719,0.007807539310306311,-8.55881118774414,-9.0,9.0,13.839853286743164,1.8548959493637085,1.298427939414978,-0.7830191850662231,1642
