phase,policy_role,terrain,episode,episode_in_terrain,steps,episode_return,ended,terminated_by_target,truncated_by_episode_length,success,remaining_distance_cm,forward_progress_cm,final_z_cm,target_z_cm,individual_alpha,population_alpha,individual_replay_size,population_replay_size,layout,A_width_ratio,A_attack_angle_deg,B_width_ratio,B_attack_angle_deg
train,individual,carpet,11,11,175,112.05510945748928,True,False,True,False,70.70790100097656,6.819565296173096,-14.292099952697754,-85.0,0.0067403959110379,0.007693369872868,1925,1925,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,12,12,175,139.48761745509412,True,False,True,False,44.88389205932617,29.97218132019043,-40.11610794067383,-85.0,0.0063092126511037,0.0071740122511982,2100,2100,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,13,13,175,154.59596548240978,True,False,True,False,35.502037048339844,40.64261817932129,-49.49796295166016,-85.0,0.0057597658596932,0.0069200559519231,2275,2275,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,14,14,79,158.19920692566004,True,True,False,True,-0.4481124877929687,75.93834972381592,-85.44811248779297,-85.0,0.0055886078625917,0.0068847727961838,2354,2354,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,15,15,175,128.33808210798134,True,False,True,False,49.76548767089844,27.74157238006592,-35.23451232910156,-85.0,0.0059267869219183,0.0068783643655478,2529,2529,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,16,16,175,151.89898169559294,True,False,True,False,37.83206558227539,40.2793197631836,-47.16793441772461,-85.0,0.0060443542897701,0.006835619919002,2704,2704,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,17,17,170,277.4890358481621,True,True,False,True,-0.5920181274414062,77.65716552734375,-85.5920181274414,-85.0,0.0063300202600657,0.0072167282924056,2874,2874,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,18,18,175,116.76966990575558,True,False,True,False,72.93402862548828,1.4446802139282229,-12.065974235534668,-85.0,0.0065303775481879,0.0078946389257907,3049,3049,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,19,19,175,80.30203740060395,True,False,True,False,85.13954162597656,-7.650418952107429,0.1395432502031326,-85.0,0.0062377420254051,0.008743641898036,3224,3224,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,20,20,175,127.06057997628312,True,False,True,False,58.92031097412109,17.250553131103516,-26.07969093322754,-85.0,0.0066432342864573,0.0096837850287556,3399,3399,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,21,21,175,143.26537593387332,True,False,True,False,44.24150085449219,33.77159118652344,-40.75849914550781,-85.0,0.0071611511521041,0.0107547501102089,3574,3574,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,22,22,175,209.76693623631616,True,False,True,False,19.10639190673828,58.04733324050903,-65.89360809326172,-85.0,0.0078174751251935,0.011936486698687,3749,3749,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,23,23,175,190.8311234283195,True,False,True,False,16.573532104492188,60.72861051559448,-68.42646789550781,-85.0,0.0082632442936301,0.0132398772984743,3924,3924,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,24,24,143,271.9403278553281,True,True,False,True,-0.35089111328125,73.96277809143066,-85.35089111328125,-85.0,0.0084325643256306,0.0146801834926009,4067,4067,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,25,25,175,176.09220107509623,True,False,True,False,25.46527099609375,49.33772945404053,-59.53472900390625,-85.0,0.0091976439580321,0.0161852203309535,4242,4242,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,26,26,175,113.39313776835822,True,False,True,False,57.41081237792969,19.44402027130127,-27.589187622070312,-85.0,0.0100103616714477,0.0164618454873561,4417,4417,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,27,27,175,175.11851188810115,True,False,True,False,20.15562438964844,57.82879781723023,-64.84437561035156,-85.0,0.0095034101977944,0.0162577200680971,4592,4592,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,28,28,175,101.67900911409866,True,False,True,False,79.95790100097656,-2.965090274810791,-5.042100429534912,-85.0,0.0092363413423299,0.0163890458643436,4767,4767,homogeneous,0.9,0.0,0.9,0.0
