role,episode,terrain,update_in_episode,replay_size,qf1_loss,qf2_loss,policy_loss,alpha,alpha_loss,target_entropy_internal,target_entropy_paper,q_target_mean,q_target_std,policy_mean_abs,policy_log_std_mean,train_update
individual,25,carpet,2,4375,0.07439108937978745,0.05301564186811447,-7.823513031005859,0.03570336103439331,-34.806739807128906,-7.0,7.0,7.61745023727417,0.48797956109046936,0.2767338156700134,-0.40194469690322876,1030
individual,25,carpet,3,4375,0.02670179307460785,0.02961331605911255,-7.927080154418945,0.035667676478624344,-33.10048294067383,-7.0,7.0,7.604991912841797,0.44015994668006897,0.25564631819725037,-0.41730067133903503,1031
individual,25,carpet,4,4375,0.03524965047836304,0.023256976157426834,-7.80387544631958,0.03563202917575836,-34.631099700927734,-7.0,7.0,7.55305814743042,0.5394879579544067,0.23737455904483795,-0.3976428210735321,1032
individual,25,carpet,5,4375,0.03311865031719208,0.031113380566239357,-7.919638156890869,0.035596419125795364,-34.5264892578125,-7.0,7.0,7.732917785644531,0.4610143303871155,0.24835896492004395,-0.3963196873664856,1033
individual,25,carpet,6,4375,0.01932545006275177,0.02111194282770157,-7.853710651397705,0.03556084260344505,-34.85209655761719,-7.0,7.0,7.525219917297363,0.34962645173072815,0.2603575885295868,-0.38385269045829773,1034
individual,25,carpet,7,4375,0.04390502721071243,0.040623392909765244,-7.94927978515625,0.035525303333997726,-31.959854125976562,-7.0,7.0,7.651085376739502,0.4903102517127991,0.31853988766670227,-0.3951558470726013,1035
individual,25,carpet,8,4375,0.028694044798612595,0.029969261959195137,-7.932873725891113,0.035489797592163086,-34.53512954711914,-7.0,7.0,7.687349319458008,0.4407896101474762,0.2674693465232849,-0.3857758939266205,1036
individual,25,carpet,9,4375,0.023591192439198494,0.020147332921624184,-7.959411144256592,0.03545432910323143,-34.230674743652344,-7.0,7.0,7.632408142089844,0.4389190077781677,0.2741928994655609,-0.39569100737571716,1037
individual,25,carpet,10,4375,0.020781517028808594,0.020508386194705963,-7.94100284576416,0.03541889414191246,-32.95022964477539,-7.0,7.0,7.708949565887451,0.18815110623836517,0.22082550823688507,-0.3800720274448395,1038
individual,25,carpet,11,4375,0.044436100870370865,0.034768782556056976,-7.965581893920898,0.035383496433496475,-33.65708541870117,-7.0,7.0,7.717308044433594,0.33977261185646057,0.26941317319869995,-0.38535287976264954,1039
individual,25,carpet,12,4375,0.04917047545313835,0.03711734712123871,-7.980166435241699,0.035348132252693176,-34.99656677246094,-7.0,7.0,7.621577739715576,0.3826296925544739,0.28982704877853394,-0.39313581585884094,1040
individual,25,carpet,13,4375,0.033493418246507645,0.04607827961444855,-7.985825061798096,0.03531280532479286,-32.43748474121094,-7.0,7.0,7.746535778045654,0.4279939830303192,0.2933681011199951,-0.38806214928627014,1041
individual,25,carpet,14,4375,0.04219038784503937,0.02834603376686573,-7.818448543548584,0.035277511924505234,-35.01929473876953,-7.0,7.0,7.620487213134766,0.5329357981681824,0.26768967509269714,-0.40473127365112305,1042
individual,25,carpet,15,4375,0.028728529810905457,0.02175828628242016,-8.021429061889648,0.03524225205183029,-33.18822479248047,-7.0,7.0,7.812377452850342,0.44562309980392456,0.2816702127456665,-0.39871665835380554,1043
individual,25,carpet,16,4375,0.03903515264391899,0.02490614540874958,-8.116215705871582,0.03520703315734863,-35.215301513671875,-7.0,7.0,7.780379772186279,0.37334486842155457,0.2575157880783081,-0.41343268752098083,1044
individual,25,carpet,17,4375,0.03727428615093231,0.026773573830723763,-8.163290023803711,0.03517184406518936,-33.088356018066406,-7.0,7.0,7.71793270111084,0.6468407511711121,0.34172365069389343,-0.42272353172302246,1045
individual,25,carpet,18,4375,0.028100084513425827,0.02640414796769619,-7.963715076446533,0.035136692225933075,-33.511199951171875,-7.0,7.0,7.851669788360596,0.3782218098640442,0.23853208124637604,-0.42132043838500977,1046
individual,25,carpet,19,4375,0.025445811450481415,0.016141412779688835,-7.946690559387207,0.03510157763957977,-33.074432373046875,-7.0,7.0,7.737536430358887,0.4094007611274719,0.2741544246673584,-0.44537633657455444,1047
individual,25,carpet,20,4375,0.04933786764740944,0.041899241507053375,-8.039031028747559,0.03506649658083916,-31.482921600341797,-7.0,7.0,7.6840057373046875,0.5942217111587524,0.34270569682121277,-0.4444778263568878,1048
individual,25,carpet,21,4375,0.058110903948545456,0.027257397770881653,-8.069644927978516,0.03503144904971123,-34.78093719482422,-7.0,7.0,7.764410495758057,0.4007086455821991,0.24422962963581085,-0.4562395513057709,1049
individual,25,carpet,22,4375,0.021162092685699463,0.019940558820962906,-7.97032356262207,0.03499643877148628,-33.44746780395508,-7.0,7.0,7.869740009307861,0.2983516752719879,0.2522314786911011,-0.44387000799179077,1050
individual,25,carpet,23,4375,0.03297054395079613,0.011569058522582054,-7.923863410949707,0.03496146202087402,-30.54715347290039,-7.0,7.0,7.718423366546631,0.514343798160553,0.31337791681289673,-0.4584944546222687,1051
individual,25,carpet,24,4375,0.027576591819524765,0.033529892563819885,-8.114726066589355,0.03492651879787445,-32.3157844543457,-7.0,7.0,7.787365913391113,0.4646468460559845,0.27944305539131165,-0.4624246656894684,1052
individual,25,carpet,25,4375,0.039034828543663025,0.02071678824722767,-8.033563613891602,0.03489161282777786,-33.317161560058594,-7.0,7.0,7.824183940887451,0.39346662163734436,0.2836121916770935,-0.4576888978481293,1053
individual,25,carpet,26,4375,0.0290119219571352,0.035070475190877914,-7.89606237411499,0.03485674038529396,-32.044918060302734,-7.0,7.0,7.777037143707275,0.3438663184642792,0.26743006706237793,-0.4571693241596222,1054
individual,25,carpet,27,4375,0.03742332383990288,0.03138159215450287,-7.938323020935059,0.03482190519571304,-32.38904571533203,-7.0,7.0,7.838709354400635,0.26153162121772766,0.2796792984008789,-0.4631522595882416,1055
individual,25,carpet,28,4375,0.027249421924352646,0.053731366991996765,-8.218159675598145,0.03478710353374481,-33.60301208496094,-7.0,7.0,7.866471290588379,0.35898080468177795,0.2676261067390442,-0.44743162393569946,1056
individual,25,carpet,29,4375,0.039459358900785446,0.028850626200437546,-8.149226188659668,0.03475233539938927,-32.45539855957031,-7.0,7.0,7.91572904586792,0.27991217374801636,0.2522699236869812,-0.4540073275566101,1057
individual,25,carpet,30,4375,0.03453908488154411,0.061698704957962036,-7.866896152496338,0.03471760079264641,-32.40974807739258,-7.0,7.0,7.757941722869873,0.47221463918685913,0.25710371136665344,-0.4439726173877716,1058
individual,25,carpet,31,4375,0.07022011280059814,0.046617504209280014,-7.994686126708984,0.034682903438806534,-32.858890533447266,-7.0,7.0,7.841841220855713,0.5813066363334656,0.27290669083595276,-0.4444027841091156,1059
individual,25,carpet,32,4375,0.024041322991251945,0.05188869312405586,-8.298343658447266,0.034648243337869644,-33.37676239013672,-7.0,7.0,7.910316467285156,0.5958163738250732,0.2813792824745178,-0.4367239475250244,1060
individual,25,carpet,33,4375,0.057311560958623886,0.03931044042110443,-8.275171279907227,0.03461361303925514,-32.12630844116211,-7.0,7.0,7.882189750671387,0.33657538890838623,0.2827673852443695,-0.42423251271247864,1061
individual,25,carpet,34,4375,0.0391431488096714,0.05227441340684891,-7.923926830291748,0.034579019993543625,-33.60924530029297,-7.0,7.0,7.798558235168457,0.42610540986061096,0.26601478457450867,-0.42967692017555237,1062
individual,25,carpet,35,4375,0.08296871185302734,0.06998179852962494,-7.896430015563965,0.034544460475444794,-33.681610107421875,-7.0,7.0,7.8988447189331055,0.25932180881500244,0.25712892413139343,-0.42349478602409363,1063
individual,25,carpet,36,4375,0.031207693740725517,0.057492904365062714,-8.216197967529297,0.03450993448495865,-33.28502655029297,-7.0,7.0,7.8066253662109375,0.4912310540676117,0.29089921712875366,-0.41740530729293823,1064
individual,25,carpet,37,4375,0.052948471158742905,0.055391475558280945,-8.314037322998047,0.03447544574737549,-34.185691833496094,-7.0,7.0,7.933635711669922,0.3580358028411865,0.23895232379436493,-0.4127006232738495,1065
individual,25,carpet,38,4375,0.055111102759838104,0.08661527186632156,-8.069573402404785,0.034440990537405014,-34.0916748046875,-7.0,7.0,7.949926376342773,0.5587998628616333,0.295748233795166,-0.42310985922813416,1066
individual,25,carpet,39,4375,0.07050879299640656,0.07132553309202194,-8.001015663146973,0.034406568855047226,-33.92034912109375,-7.0,7.0,7.880290985107422,0.5336471199989319,0.27690044045448303,-0.412021666765213,1067
individual,25,carpet,40,4375,0.02451210841536522,0.03396850451827049,-8.1389741897583,0.034372180700302124,-33.542762756347656,-7.0,7.0,7.856972694396973,0.34778448939323425,0.284614622592926,-0.4240662157535553,1068
