phase,policy_role,terrain,episode,episode_in_terrain,steps,episode_return,ended,terminated_by_target,truncated_by_episode_length,success,remaining_distance_cm,forward_progress_cm,final_z_cm,target_z_cm,individual_alpha,population_alpha,individual_replay_size,population_replay_size,layout,A_width_ratio,A_attack_angle_deg,B_width_ratio,B_attack_angle_deg
train,individual,carpet,11,11,175,140.672272527866,True,False,True,False,37.307579040527344,41.875465393066406,-47.692420959472656,-85.0,0.007278103847056627,0.007508956361562014,1925,1925,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,12,12,175,107.65124180307076,True,False,True,False,82.30986022949219,-1.2461411952972412,-2.690138339996338,-85.0,0.006925053428858519,0.007154485210776329,2100,2100,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,13,13,175,125.12976036021375,True,False,True,False,56.066612243652344,23.238757610321045,-28.933387756347656,-85.0,0.0065887994132936,0.0067992014810442924,2275,2275,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,14,14,175,115.63542038350475,True,False,True,False,65.3345947265625,16.496134757995605,-19.665407180786133,-85.0,0.006272953934967518,0.00650228513404727,2450,2450,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,15,15,175,115.28096413221428,True,False,True,False,63.6834831237793,16.815950393676758,-21.316516876220703,-85.0,0.006069602444767952,0.006600311491638422,2625,2625,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,16,16,175,154.86296484463855,True,False,True,False,39.210201263427734,40.872775077819824,-45.789798736572266,-85.0,0.00580298388376832,0.0063812523148953915,2800,2800,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,17,17,175,158.88083730038792,True,False,True,False,29.730937957763672,51.87980675697327,-55.26906204223633,-85.0,0.005515892058610916,0.0061775092035532,2975,2975,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,18,18,175,168.92973124021526,True,False,True,False,26.514087677001953,55.407551527023315,-58.48591232299805,-85.0,0.005243981257081032,0.005968169774860144,3150,3150,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,19,19,175,142.8024688243783,True,False,True,False,46.36563491821289,32.88018989562988,-38.63436508178711,-85.0,0.00499973027035594,0.005815299227833748,3325,3325,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,20,20,175,95.58746575706132,True,False,True,False,85.15132141113281,-4.274535700678825,0.15131859481334686,-85.0,0.00476496946066618,0.005720573011785746,3500,3500,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,21,21,175,124.21395803137996,True,False,True,False,62.668304443359375,18.67240810394287,-22.331693649291992,-85.0,0.004601916763931513,0.005466001108288765,3675,3675,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,22,22,175,113.17438407831652,True,False,True,False,68.72782135009766,11.577150821685791,-16.272180557250977,-85.0,0.004552479833364487,0.0052214027382433414,3850,3850,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,23,23,175,131.35529388195812,True,False,True,False,59.465126037597656,18.910983562469482,-25.534873962402344,-85.0,0.004585237242281437,0.0050409575924277306,4025,4025,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,24,24,175,155.66944552863293,True,False,True,False,37.826351165771484,40.53705406188965,-47.173648834228516,-85.0,0.004566086921840906,0.004979563876986504,4200,4200,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,25,25,175,151.81056966111265,True,False,True,False,39.21297836303711,38.86881494522095,-45.78702163696289,-85.0,0.00436953641474247,0.0049404967576265335,4375,4375,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,26,26,175,180.52629558326055,True,False,True,False,28.030662536621094,50.657904624938965,-56.969337463378906,-85.0,0.004282695706933737,0.004991431254893541,4550,4550,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,27,27,175,240.0061382242651,True,False,True,False,9.664451599121094,71.64045906066895,-75.3355484008789,-85.0,0.004109944682568312,0.005053252913057804,4725,4725,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,28,28,175,111.8900973083989,True,False,True,False,58.40177917480469,21.563372135162354,-26.598220825195312,-85.0,0.004175610840320587,0.005217356141656637,4900,4900,homogeneous,0.9,0.0,0.9,0.0
