role,episode,terrain,update_in_episode,replay_size,qf1_loss,qf2_loss,policy_loss,alpha,alpha_loss,target_entropy_internal,target_entropy_paper,q_target_mean,q_target_std,policy_mean_abs,policy_log_std_mean,train_update
individual,4,carpet,14,700,0.18530172109603882,0.22006921470165253,-1.0876059532165527,0.009860984981060028,-53.6095085144043,-7.0,7.0,0.6951388120651245,0.24803748726844788,0.1346258968114853,-0.06336703896522522,14
individual,4,carpet,15,700,0.1442366987466812,0.12945619225502014,-1.082849383354187,0.009851129725575447,-53.14836502075195,-7.0,7.0,0.7802675366401672,0.2525515556335449,0.17999744415283203,-0.05157600715756416,15
individual,4,carpet,16,700,0.09945522993803024,0.07037872821092606,-1.0134918689727783,0.009841283783316612,-51.30780029296875,-7.0,7.0,0.8083475828170776,0.23033122718334198,0.247228741645813,-0.03535892441868782,16
individual,4,carpet,17,700,0.06601016968488693,0.052881158888339996,-0.9289721846580505,0.009831448085606098,-50.34601593017578,-7.0,7.0,0.7821027040481567,0.20381325483322144,0.33759498596191406,-0.012399515137076378,17
individual,4,carpet,18,700,0.03980641812086105,0.03632037341594696,-0.8060200214385986,0.009821622632443905,-50.77341079711914,-7.0,7.0,0.7377035617828369,0.2059394121170044,0.4530743956565857,0.016683291643857956,18
individual,4,carpet,19,700,0.055075500160455704,0.04758167639374733,-0.7465839982032776,0.009811806492507458,-44.87161636352539,-7.0,7.0,0.6421020030975342,0.2102546989917755,0.602360725402832,0.05208496004343033,19
individual,4,carpet,20,700,0.05899306386709213,0.06630340218544006,-0.6868386268615723,0.009802000597119331,-37.38210678100586,-7.0,7.0,0.7497683167457581,0.22876609861850739,0.7789109349250793,0.09049353748559952,20
individual,4,carpet,21,700,0.05260859429836273,0.055378079414367676,-0.6431850790977478,0.009792204014956951,-27.00896644592285,-7.0,7.0,0.6756291389465332,0.21813780069351196,0.9528430700302124,0.12403537333011627,21
individual,4,carpet,22,700,0.049284473061561584,0.05331730097532272,-0.5928728580474854,0.009782417677342892,-22.536340713500977,-7.0,7.0,0.6990067958831787,0.1739511936903,1.0551854372024536,0.11682857573032379,22
individual,4,carpet,23,700,0.06865081936120987,0.06861721724271774,-0.6008278727531433,0.009772640652954578,-29.445693969726562,-7.0,7.0,0.6961047053337097,0.19726571440696716,1.0386760234832764,0.07703447341918945,23
individual,4,carpet,24,700,0.10989180207252502,0.10291076451539993,-0.5885496139526367,0.009762873873114586,-24.617603302001953,-7.0,7.0,0.7763271331787109,0.21391484141349792,1.0281440019607544,0.03837420791387558,24
individual,4,carpet,25,700,0.07726278156042099,0.06929630786180496,-0.6082910299301147,0.00975311640650034,-28.239030838012695,-7.0,7.0,0.701210618019104,0.23100075125694275,0.9703251719474792,0.0005142681184224784,25
individual,4,carpet,26,700,0.07523469626903534,0.06787016242742538,-0.6425878405570984,0.00974336825311184,-35.20929718017578,-7.0,7.0,0.6726338863372803,0.25659990310668945,0.8860901594161987,-0.0334768183529377,26
individual,4,carpet,27,700,0.07906784862279892,0.06602881103754044,-0.6830316185951233,0.009733631275594234,-38.76502227783203,-7.0,7.0,0.7818077802658081,0.21314816176891327,0.8033012747764587,-0.06368083506822586,27
individual,4,carpet,28,700,0.04458588361740112,0.04056759178638458,-0.720486581325531,0.009723902679979801,-36.08285903930664,-7.0,7.0,0.6894745230674744,0.21352586150169373,0.7664865255355835,-0.0887976810336113,28
individual,4,carpet,29,700,0.05615171417593956,0.051242247223854065,-0.7928171753883362,0.009714184328913689,-41.77997970581055,-7.0,7.0,0.7825232148170471,0.2337418645620346,0.7309582829475403,-0.11210273206233978,29
