design_index,checkpoint,tag,replay,terrain,rollout_index,return,length,A_width_ratio,A_attack_angle_deg,A_actual_width,B_width_ratio,B_attack_angle_deg,B_actual_width,width_ratio,actual_width,attack_angle_deg
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,33,-2.2598199076090806,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,34,-3.397238374602563,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,35,-2.840161599185289,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
1,2026_05_20_DesignCycle1_ep60,scale_ab_carpet_cardboard_design1_30ep,replay_2026_05_20_DesignCycle1_scale_ab_carpet_cardboard_design1_30ep.pt,carpet,0,13.858650565443485,175,0.63,30.0,5.3999999999999995,0.63,30.0,5.3999999999999995,0.63,5.3999999999999995,30.0
1,2026_05_20_DesignCycle1_ep60,scale_ab_carpet_cardboard_design1_30ep,replay_2026_05_20_DesignCycle1_scale_ab_carpet_cardboard_design1_30ep.pt,carpet,1,12.526608094339275,175,0.63,30.0,5.3999999999999995,0.63,30.0,5.3999999999999995,0.63,5.3999999999999995,30.0
1,2026_05_20_DesignCycle1_ep60,scale_ab_carpet_cardboard_design1_30ep,replay_2026_05_20_DesignCycle1_scale_ab_carpet_cardboard_design1_30ep.pt,carpet,2,15.901648416844532,175,0.63,30.0,5.3999999999999995,0.63,30.0,5.3999999999999995,0.63,5.3999999999999995,30.0
1,2026_05_20_DesignCycle1_ep60,scale_ab_carpet_cardboard_design1_30ep,replay_2026_05_20_DesignCycle1_scale_ab_carpet_cardboard_design1_30ep.pt,carpet,3,14.559087835919884,175,0.63,30.0,5.3999999999999995,0.63,30.0,5.3999999999999995,0.63,5.3999999999999995,30.0
1,2026_05_20_DesignCycle1_ep60,scale_ab_carpet_cardboard_design1_30ep,replay_2026_05_20_DesignCycle1_scale_ab_carpet_cardboard_design1_30ep.pt,carpet,4,12.294764764837163,175,0.63,30.0,5.3999999999999995,0.63,30.0,5.3999999999999995,0.63,5.3999999999999995,30.0
1,2026_05_20_DesignCycle1_ep60,scale_ab_carpet_cardboard_design1_30ep,replay_2026_05_20_DesignCycle1_scale_ab_carpet_cardboard_design1_30ep.pt,carpet,5,13.146597118789417,175,0.63,30.0,5.3999999999999995,0.63,30.0,5.3999999999999995,0.63,5.3999999999999995,30.0
1,2026_05_20_DesignCycle1_ep60,scale_ab_carpet_cardboard_design1_30ep,replay_2026_05_20_DesignCycle1_scale_ab_carpet_cardboard_design1_30ep.pt,carpet,6,11.240507071427354,175,0.63,30.0,5.3999999999999995,0.63,30.0,5.3999999999999995,0.63,5.3999999999999995,30.0
