update,replay_size,qf1_loss,qf2_loss,policy_loss,alpha,alpha_loss,target_entropy_internal,target_entropy_paper,q_target_mean,q_target_std,policy_mean_abs,policy_log_std_mean,train_update
4391,41831,1.7151596546173096,1.655693531036377,-46.90886688232422,0.0118482057005167,-3.6576802730560303,-9.0,9.0,46.59402847290039,13.588939666748047,1.4579652547836304,-0.6966496109962463,9413
4392,41831,1.1665829420089722,0.9711467027664185,-49.058380126953125,0.011844641529023647,-1.5282964706420898,-9.0,9.0,47.849693298339844,15.223952293395996,1.4580055475234985,-0.7077146172523499,9414
4393,41831,1.140284776687622,0.9975205659866333,-46.815547943115234,0.011840925551950932,-1.2096365690231323,-9.0,9.0,45.57236099243164,13.539653778076172,1.489376425743103,-0.6946671605110168,9415
4394,41831,1.040774941444397,0.9185285568237305,-46.0834846496582,0.011836838908493519,-1.759958028793335,-9.0,9.0,45.495941162109375,12.564956665039062,1.490271806716919,-0.7081881761550903,9416
4395,41831,1.7378844022750854,1.4509477615356445,-47.41144943237305,0.011831782758235931,-3.2786800861358643,-9.0,9.0,47.252952575683594,13.63022518157959,1.4623421430587769,-0.7189204096794128,9417
4396,41831,0.8695979714393616,0.861683189868927,-47.909217834472656,0.011827269569039345,0.09221318364143372,-9.0,9.0,47.42224884033203,13.696572303771973,1.5348817110061646,-0.705130398273468,9418
4397,41831,1.034702181816101,1.0101121664047241,-47.230323791503906,0.01182213332504034,-2.548837184906006,-9.0,9.0,45.992889404296875,13.763318061828613,1.4808247089385986,-0.6956471800804138,9419
4398,41831,0.8395875692367554,0.806846022605896,-48.55638122558594,0.011816023848950863,-3.54140305519104,-9.0,9.0,47.09898376464844,13.54535961151123,1.4325836896896362,-0.7307573556900024,9420
4399,41831,0.5094708800315857,0.38181889057159424,-47.524085998535156,0.011810204945504665,-0.7643920183181763,-9.0,9.0,46.672306060791016,12.859910011291504,1.51276433467865,-0.7062793374061584,9421
4400,41831,0.8804014921188354,0.8787732720375061,-47.127113342285156,0.011804360896348953,-1.4491844177246094,-9.0,9.0,46.937171936035156,12.875840187072754,1.5197045803070068,-0.7082832455635071,9422
4401,41831,0.6765834093093872,0.7527526617050171,-47.32057571411133,0.01179939229041338,0.6981262564659119,-9.0,9.0,46.75655746459961,13.8082857131958,1.5019007921218872,-0.701102077960968,9423
4402,41831,0.5815691947937012,0.576775074005127,-46.178314208984375,0.01179553847759962,1.4731168746948242,-9.0,9.0,44.949302673339844,12.002411842346191,1.5228170156478882,-0.7145839929580688,9424
4403,41831,0.6708168387413025,0.6551004648208618,-47.44800567626953,0.011792558245360851,1.155168056488037,-9.0,9.0,46.16331481933594,13.763751029968262,1.5163205862045288,-0.7428940534591675,9425
4404,41831,0.6384314298629761,0.5978496670722961,-47.28201675415039,0.011790623888373375,1.7746883630752563,-9.0,9.0,46.60210418701172,13.81082820892334,1.5180405378341675,-0.7394199967384338,9426
4405,41831,0.6437851786613464,0.8216071724891663,-46.3382682800293,0.011789853684604168,2.315352439880371,-9.0,9.0,46.12140655517578,12.949240684509277,1.5785977840423584,-0.7094658613204956,9427
4406,41831,0.5388072729110718,0.5197669267654419,-46.24955749511719,0.01179047767072916,3.136751651763916,-9.0,9.0,45.87791061401367,14.30361557006836,1.5626870393753052,-0.7085261344909668,9428
4407,41831,0.5701953768730164,0.5553847551345825,-47.042991638183594,0.01179245114326477,3.3554039001464844,-9.0,9.0,46.00895690917969,12.942970275878906,1.5366331338882446,-0.7311413884162903,9429
4408,41831,0.6966274976730347,0.6520426273345947,-48.04172134399414,0.011795285157859325,2.5125153064727783,-9.0,9.0,46.891937255859375,14.10636043548584,1.527463674545288,-0.7555145621299744,9430
